No.,Quantity,Comment,Designator,Footprint,Value,"Manufacturer Part",Manufacturer,"Supplier Part",Supplier
1,1,47uF,C3,C1206,,GRM31CR61E476ME44L,muRata(村田),C403725,LCSC
2,2,22uF,"C4,C5",C0805,,CL21A226MAQNNNE,SAMSUNG(三星),C45783,LCSC
3,3,100nF,"CAUX1,LC1,LC3",C0402,,GRM155R71C104KA88D,MuRata,C71629,LCSC
4,1,10uF,COUT1,C0603,,CC0603KRX5R6BB106,YAGEO(国巨),C326057,LCSC
5,2,536Ω,"CSR1,CSR3",R0603,536Ω,WR06X5360FTL,Walsin(华新科),C170624,LCSC
6,1,2.2uH,L2,IND-SMD_L4.0-W4.0,,WPN4020H2R2MT,Sunlord(顺络),C98361,LCSC
7,2,SM03B-SURS-TF(LF)(SN),"L,R",CONN-SMD_SM03B-SURS-TF-LF-SN,,SM03B-SURS-TF(LF)(SN),JST,C265338,LCSC
8,2,5.1kΩ,"R4,R5",R0603,,0603WAF5101T5E,UNI-ROYAL(厚声),C23186,LCSC
9,1,10K,RENABLE1,R0603,,RC0603FR-0710KL,YAGEO(国巨),C98220,LCSC
10,2,100kΩ,"RFBB1,RPGOOD1",R0603,,"FRC0603J104 TS",FOJAN(富捷),C2907088,LCSC
11,1,845kΩ,RFBT1,R0603,,FRC0603F8453TS,FOJAN(富捷),C2930132,LCSC
12,1,MK-12C02-G020,SW4,SW-SMD_MK-12C02-G020,,MK-12C02-G020,G-Switch,C963206,LCSC
13,2,LM317LIPK,"U1,U2",SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,,LM317LIPK,TI(德州仪器),C5296732,LCSC
14,1,TPS63070RNMR,U3,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,,TPS63070RNMR,TI,C109322,LCSC
15,1,GT-USB-7010ASV,U8,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,,GT-USB-7010ASV,G-Switch(品赞),C2988369,LCSC
